"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/28/2022","South Shore Desi","SOUTH SHORE DESI MARKET","118.34","debit","Groceries","American Express Gold Card","",""
"6/28/2022","ACH Withdrawal 062822BKOFAM CK WEBXF                                                                                                                                                               ","ACH Withdrawal 062822BKOFAM CK WEBXF                                                                                                                                                               ","400.00","debit","Credit Card Payment","One Deposit Savings","",""
"6/28/2022","PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) MORNING TRADE (Cash)","PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) MORNING TRADE (Cash)","0.75","debit","Buy","Health Savings Account","",""
"6/28/2022","DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD TOTAL STK M (VTI) (Cash)","DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD TOTAL STK M (VTI) (Cash)","0.75","credit","Dividend & Cap Gains","Health Savings Account","",""
"6/27/2022","PURCHASE   0624 TACO BELL 704812                            NORWELL      MA XXXXX0021XXXXXXXXXX0664","PURCHASE   0624 TACO BELL 704812                            NORWELL      MA XXXXX0021XXXXXXXXXX0664","12.29","debit","Fast Food","Adv Plus Banking - 9491","",""
"6/27/2022","DISCOVER         DES:E-PAYMENT  ID:9828                      INDN:SINGH RAJEEV            CO ID:XXXXX20270 WEB","DISCOVER         DES:E-PAYMENT  ID:9828                      INDN:SINGH RAJEEV            CO ID:XXXXX20270 WEB","431.54","debit","Credit Card Payment","Adv Plus Banking - 9491","",""
"6/27/2022","OVERDRAFT ITEM FEE FOR ACTIVITY OF 06-27                    ELECTRONIC TRANSACTION                                      POSTING DATE 06-27-22  POSTING SEQ 00004","OVERDRAFT ITEM FEE FOR ACTIVITY OF 06-27                    ELECTRONIC TRANSACTION                                      POSTING DATE 06-27-22  POSTING SEQ 00004","10.00","debit","Bank Fee","Adv Plus Banking - 9491","",""
"6/27/2022","CHECKCARD  0625 GIORDANOS RESTAURANT                        OAK BLUFFS   MA XXXXX8021XXXXXXXXXX5043","CHECKCARD  0625 GIORDANOS RESTAURANT                        OAK BLUFFS   MA XXXXX8021XXXXXXXXXX5043","28.88","debit","Restaurants","Adv Plus Banking - 9491","",""
"6/27/2022","BKOFAMERICA ATM 06/25 #XXXXX1053 WITHDRWL                   SHAW'S PLAZA REMOT WEYMOUTH      MA","BKOFAMERICA ATM 06/25 #XXXXX1053 WITHDRWL                   SHAW'S PLAZA REMOT WEYMOUTH      MA","140.00","debit","Cash & ATM","Adv Plus Banking - 9491","",""
"6/27/2022","FROM 06/16 THRU 06/25 @ 9.200%BAL 2,282 AVBAL 2,290","FROM 06/16 THRU 06/25 @ 9.200%BAL 2,282 AVBAL 2,290","5.85","debit","Investments","Individual Brokerage","",""
"6/27/2022","FROM 05/26 THRU 06/15 @ 8.450%BAL 2,288 AVBAL 2,290","FROM 05/26 THRU 06/15 @ 8.450%BAL 2,288 AVBAL 2,290","11.29","debit","Investments","Individual Brokerage","",""
"6/26/2022","TACO BELL           NORWELL             MA","TACO BELL           NORWELL             MA","8.55","debit","Fast Food","American Express Gold Card","",""
"6/26/2022","COMCAST CABLE COMM  800-COMCAST         NH","COMCAST CABLE COMM  800-COMCAST         NH","69.99","debit","Television","Delta SkyMiles Gold Card","",""
"6/26/2022","BJ'S FUEL           QUINCY              MA","BJ'S FUEL           QUINCY              MA","61.99","debit","Gas & Fuel","Delta SkyMiles Gold Card","",""
"6/25/2022","AIRBNB * HMCCYEW5YE SAN FRANCISCO       CA","AIRBNB * HMCCYEW5YE SAN FRANCISCO       CA","54.55","debit","Hotel","Delta SkyMiles Gold Card - Supplementary account","",""
"6/24/2022","TST* NANCYS 00048663OAK BLUFFS          MA","TST* NANCYS 00048663OAK BLUFFS          MA","53.86","debit","Restaurants","American Express Gold Card","",""
"6/24/2022","BLACK DOG EDGARTOWN EDGARTOWN           MA","BLACK DOG EDGARTOWN EDGARTOWN           MA","9.51","debit","Restaurants","American Express Gold Card","",""
"6/24/2022","CITIZE SV WEBXFR DES:P2P        ID:RAJEEV SINGH              INDN:RAJEEV SINGH            CO ID:XXXXX27921 WEB","CITIZE SV WEBXFR DES:P2P        ID:RAJEEV SINGH              INDN:RAJEEV SINGH            CO ID:XXXXX27921 WEB","200.00","credit","Income","Adv Plus Banking - 9491","",""
"6/24/2022","NAUTI COW CREAMERY  Oak Bluffs          MA","NAUTI COW CREAMERY  Oak Bluffs          MA","9.06","debit","Restaurants","American Express Gold Card","",""
"6/24/2022","ESPRESSO LOVE       Edgartown           MA","ESPRESSO LOVE       Edgartown           MA","15.17","debit","Coffee Shops","Additional Gold Card - Supplementary account","",""
"6/24/2022","ACH Withdrawal 062422BKOFAM CK WEBXF                                                                                                                                                               ","ACH Withdrawal 062422BKOFAM CK WEBXFRETRANSFER","200.00","debit","Credit Card Payment","One Deposit Savings","",""
"6/24/2022","DIVIDEND RECEIVED VANGUARD WHITEHALL FDS HIGH DIV YLD (VYM) (Cash)","DIVIDEND RECEIVED VANGUARD WHITEHALL FDS HIGH DIV YLD (VYM) (Cash)","44.09","credit","Dividend & Cap Gains","Individual - TOD","",""
"6/24/2022","VANGUARD INDEX FUNDS VANGUARD HIGH DIVIDEND YIELD ETF CASH DIV ON 53 SHS","VANGUARD INDEX FUNDS VANGUARD HIGH DIVIDEND YIELD ETF CASH DIV ON 53 SHS","44.94","credit","Dividend & Cap Gains","Roth IRA","",""
"6/24/2022","DIVIDEND RECEIVED VANGUARD WHITEHALL FDS HIGH DIV YLD (VYM) (Cash)","DIVIDEND RECEIVED VANGUARD WHITEHALL FDS HIGH DIV YLD (VYM) (Cash)","1.70","credit","Dividend & Cap Gains","Health Savings Account","",""
